Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating
A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,4.7
ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D
ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C
Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne) ,Biocon Ltd.,BIOCON,B
Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne) ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne, treat acne vulgaris ,Lupin Ltd.,LUPIN,L
Acne UV Gel 60gm,Acne, treat acne vulgaris ,Cadila Healthcare Ltd.,CADILAHC,CA
Acne UV SPF 30 Gel 30gm,Acne, treat mild to moderate acne(spots),Abbott India Ltd.,ABBOTINDIA,ABB
Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Alkem Laboratories Ltd.,ALKEM,AL
Acnedap Gel 15gm,Acne,Mild to moderate acne (spots),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Ipca Laboratories Ltd.,IPCALAB,3
Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne) ,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne) ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne) ,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Acnerex Soap 75gm,Acne, treat acne vulgaris ,Divis Laboratories Ltd.,DIVISLAB,D
Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne, treat acne vulgaris ,Cipla Ltd.,CIPLA,C
Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne, treat mild to moderate acne(spots),Biocon Ltd.,BIOCON,B
Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acnestal Soap 75gm,Acne," gives smooth, soft, supple and fresh feeling to the skin",Lupin Ltd.,LUPIN,L
Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Cadila Healthcare Ltd.,CADILAHC,CA
Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots),Abbott India Ltd.,ABBOTINDIA,ABB
Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Alkem Laboratories Ltd.,ALKEM,3.2
Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Ipca Laboratories Ltd.,IPCALAB,I
Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne) ,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Acnezyl Gel(Topical) 10gm,Acne, treat acne vulgaris ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne, treat acne vulgaris ,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Acnil Soap 75gm,Acne, treat mild to moderate acne(spots),Divis Laboratories Ltd.,DIVISLAB,D
Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp,Cipla Ltd.,CIPLA,C
Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots),Biocon Ltd.,BIOCON,B
Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Aurobindo Pharma Ltd.,AUROPHARMA,3.9
Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L
