Description,Drug_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"['A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm', 'Acnedap Plus Gel 15gm', 'Acnetoin Plus Oinment 15gm', ""Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S"", 'Adiff Aqueous Gel 15gm', 'Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm', 'Azac Cream 15gmAzac Soap 75gm', 'Benzox AC 5% Gel 20gm', 'Cliac Gel 15gm', 'Clin 3 Gel 15gm', ""Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S"", 'Clinxa A Gel 20gm', 'Deriva Aqueous Gel 15gm', 'Entice Acne Bar 75gm', 'Faceclin Gel 20gm', 'Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm', ""Isac 20mg Capsule 10'S"", ""Isofeel 20 Capsule 10's"", 'Klincin A Gel 15gm', 'Melalong AD Cream 15gm', 'Nexret 0.10% Gel 15gmNexret 0.04% Gel 15gm', 'Oxtiv AP Gel(Topical) 15gm', 'Pimoff 1% Gel 20gm', 'Revize 0.02% Creams 20gmRevize Cream 15gm', 'Shaloxy FW 2% Solution 50ml', 'Supatret C M Gel 15gmSupatret C Aqueous Gel 15gm', 'Tocoderm Cream 15gm', 'Trunex Gel 15gm', 'Yugard Cream 30gm', ""Atrest 12.5mg Tablet 10'SAtrest 25mg Tablet 10'S"", ""Waklert 150mg Tablet 5'SWaklert 150mg Tablet 10'SWaklert 250mg Tablet 5'SWaklert 50mg Tablet 10'SWaklert 100mg Tablet 10"", ""Alaspan 10mg Tablet 10'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne care,"['AHAGLOW ADVANCED FACE WASH Gel 200gm', 'Cetaphil Restoraderm Moisturizing Lotion 100ml', 'Cutinorm Cleansing Soap 100gm', 'GLY SEB CLEAR Bathing Bar 75gm', 'Ketostar Soap 75gm', 'LITE GLO Face Wash 100ml', 'MY FAIR Face Wash 60gm', 'Truface Foaming Face Wash 60ml']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankylosing spondylitis,"[""3D Injection 3ml3D 1% Gel 30gm3D Capsule 10'S"", ""Acceclowoc P Tablet 10'SAcceclowoc 100mg Tablet 10'SAcceclowoc SP Tablet 10'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheads removal,"['Cetaphil Gentle Skin Cleanser For Dry And Sensitive Skin 125ml', 'Clarina Face Wash Gel(Topical) 60ml', 'Dermadew Face Wash 100ml', 'Hymos Lotion 100ml', 'Klmklin Aha Gel Face Wash 50ml', 'Mesoestetic Mesopeel Azelan Gel(Topical) 50ml', 'Salicure 17% Ointment 30gm', 'Wokadine 5% Solution 500ml']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark spots removal,"['Cetafresh Cleansing Lotion 200ml', 'Cidex Solution 1LtrCidex 2% Solution 5LtrCidex Solution 2Ltr', 'Derclean Hydro Gel Cleanser 50gm', 'Halozar S Oinment 20gm', 'KLMKLIN Face Wash 50ml', 'LIVALITE Soap 75gm', 'Sali Face Wash 60ml', 'UV Care Lite SPF 30 Lotion 50gm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good for Allergic skin,"[""Alenix 5mg Tablet 10'SAlenix 10mg Tablet 10'S"", ""Alerfix M Tablet 15'S"", ""Alernex 120mg Tablet 10'S"", ""ALL 3 5mg Tablet 10'S"", 'Allercrom Forte Eye Drops 5ml', ""Allermax Tablet 10'S"", ""Alovent 5mg Tablet 10'S"", ""Amicet Tablet 10'S"", ""Avil 22.5mg Injection 10X2mlAvil 25mg Tablet 15'SAvil 25mg Injection 2mlAvil 25mg Expectorant 100mlAvil Injection 10X2mlAvil 22.7mg Injection 10mlAvil 50mg Tablet 15'S"", ""Betawin LC 5mg Tablet 10'S"", ""BILAZEST 20mg Tablet 10's"", ""BYLOZA 20mg Tablet 10's"", ""Cetcip L 5mg Tablet 10'S"", ""CETIP Tablet 10's"", ""Cetrezol 10mg Tablet 10'SCetrezol 5mg Tablet 10'SCetrezol L Tablet 10'S"", ""Cetrizet 10mg Tablet 10'SCetrizet 5mg Tablet 10'S"", ""Citicad 10mg Tablet 10'S"", 'Cofryl OG Syrup 60mlCofryl OG Syrup 100ml', ""CPM Tablet 1000'SCPM 4mg Tablet 1000'S"", ""DE ARGELLA Tablet 10's"", ""Dexodil SR 6mg Tablet 10'S"", ""DIO 1 Tablet 10'S"", ""Ebal MD Tablet 10'S"", ""Ekon XL MD Tablet 10'S"", ""ELU 5mg Tablet 10'S"", ""Etofex 120mg Tablet 10'S"", ""FEX 180mg Tablet 10'SFEX 120mg Tablet 10'SFEX 30mg Tablet 10'S"", ""Fexolife 180mg Tablet 10'S"", ""FEXTIVA 180mg Tablet 10's"", ""Foristal Lontabs 2.5mg Tablet 10'S"", ""Glenzal 5mg Tablet 10'SGlenzal 2.5mg Syrup 30ml"", ""Hicet L Syrup 30mlHicet L Tablet 10'S"", ""Histakem 120mg Tablet 10'SHistakem 180mg Tablet 10'S"", ""Ibikast Tablet 10'S"", ""Infinair LD 4/2.5mg Tablet 10'S"", ""L 5mg Tablet 10's"", ""L Hist Mont FX 10/120mg Tablet 10'S"", ""L Montus Kid Tablet 10'S"", ""LC Troy 5mg Tablet 10'S"", ""LEBIA M KID Tablet 10's"", ""Leecet M Tablet 10'S"", ""Lesafe 5mg Tablet 10'S"", ""Levocet Syrup 30mlLevocet 10mg Tablet 15'SLevocet 5mg Tablet 10'SLevocet Syrup 60ml"", ""Levogel 5mg Capsule 10'S"", ""LEVOP A Tablet 10's"", ""Levosiz M Tablet 10'S"", ""LEWEL AM Tablet 10's"", ""Livozine 5mg Tablet 10'S"", ""Loratop Tablet 10'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hepatic encephalopathy (a liver disease causing confusion, tremor, decreased level of consciousness) which can lead to a hepatic coma","['Biolac Syrup 100mlBiolac Syrup 200ml', ""Biolax Tablet 10'S"", ""Bisacad 5mg Tablet 10'S"", ""Bisacodyl 5mg Suppository 5'S"", ""BO Lax 5mg Tablet 10'S"", 'Bowell Sachet 10ml', 'Bowlease Syrup 60ml', ""Bylax Tablet 10'S"", 'Cadilose Green Granules 15gmCadilose Syrup 100mlCadilose Syrup 450mlCadilose Enema 250mlCadilose Solution 60mlCadilose Liquid 250mlCadilose Solution 200ml', ""Calopride 2mg Tablet 10'SCalopride 1mg Tablet 10'S"", ""Canthalax Tablet 10'S"", 'Cardiolax Powder 90gm', 'Castrowok Oil 50ml']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","[""Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S"", 'Adapen Gel 15gm', 'Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm', 'CLENCHIN Gel(Topical) 20gm', 'Clindakem A Gel 20gm', 'ENCLINA Gel(Topical) 20gm', ""Fabeau Soap 1'S"", ""I Deriva 20mg Capsule 10'SI Deriva 10mg Capsule 10'S"", 'Melacare HC Cream 15gm', ""Nayzit Gel 15gmNayzit 20mg Capsule 10'SNayzit 10mg Capsule 10'S"", 'Persol AC 5 Gel 30gm', 'Sunprotect 50mg Lotion 60ml', ""Tigilyn 50mg Injection 1'S"", 'Whitfield SF 3% Ointment 30gm', ""Airtek 10/5mg Tablet 10'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is used for Alzheimer's disease and other types of dementia, head trauma,","[""Admenta 5mg Tablet 10'SAdmenta 10mg Tablet 10'S"", ""Alzidoc 5mg Tablet 10'SAlzidoc 10mg Tablet 10'S"", ""Aricep SR 23mg Tablet 10'SAricep 10mg Tablet 10'SAricep 5mg Tablet 10'S"", ""Ceham M Tablet 10'S"", ""Cholinecad Injection 2mlCholinecad 500mg Tablet 10'SCHOLINECAD 250mg Injection 2ml"", ""CITICON 500mg Tablet 10's"", ""Citimac Injection 4mlCitimac 250mg Injection 2mlCitimac 500mg Tablet 10'S"", ""Citinova 500mg Tablet 10'SCitinova 250mg Injection 2ml"", ""Citrok 250mg Injection 2mlCitrok 500mg Tablet 10'S"", ""Cognitam Plus Tablet 10'SCognitam Injection 15ml"", ""Colihenz 500mg Tablet 10'SColihenz Injection 2mlColihenz P 800mg Tablet 10'S"", ""DNP 10mg Tablet 10'SDNP 5mg Tablet 10'S"", ""Donecept M Forte Tablet 10'S"", ""Donetaz SR 11.5mg Tablet 10'SDonetaz 11.5mg Tablet 10'SDonetaz 23mg Tablet 10""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","['ACGEL CL NANO Gel 15gm', 'ACGEL NANO Gel 15gm', 'Acnehit Gel 15gm', 'Acnelak Soap 75gm', 'Acnetor AD 1% Ointment 15gm', 'Acnetor AD Cream 15Acnetor AD Gel 15gm', 'Acnoff Anti Acne Bar 100gm', 'Acnorm Lotion 180ml', 'Adistar Gel 15gm', 'Adistarc Gel 10gm', 'Alight Gel 15gm', 'Alight Plus Gel 15gm', 'Azecne 20% Cream 15gmAzecne 10% Cream 15gm', 'Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm', 'Blokage Gel 15gm', 'Botanica 3D Serum 30ml', 'Click Gel 20gm', 'Clid 1% Gel 20gmClid Gel 30gm', 'Clin AD Gel 15gm', 'Clinadd Gel 15gm', 'Clindoxyl Gel 15gmClindoxyl Gel 10gm', 'Clinet Gel 20gm', 'Comedolytic Cream 20gm', 'Cortina H Cream 15gm', 'Deriva Bpo Gel 15gm', 'Deriva Cms Gel 15gm', 'Entice Natura Soap 75gm', 'Epiduo Gel 30gmEpiduo Gel 15gm', 'Faceclin A Gel 15gm', 'Faceclin AT Gel 15gm', ""Glotret 30mg Tablet 10'SGlotret 20mg Tablet 10'SGlotret 10mg Tablet 10'SGlotret 5mg Tablet 10'S"", 'Glow Lite Cream 20gm', ""Isac 10mg Capsule 10'S"", ""Isina 20mg Capsule 10'S"", ""Isofeel 30 Capsule 10's"", ""Isofeel 40 Capsule 10's"", 'Klinspec 1% Cream 15gm', 'Klynx Gel 10gm', 'MELANORM MS Cream 15gm', 'Melasol Cream 15gm', 'Nilac Gel 20gmNilac A Gel 20gm', 'Nioclean Gel 20gm', 'Paknet C Gel(Topical) 15gm', 'Papulex Cream 15gmPapulex Cleansing Gel 100ml', 'Pimple Cure Cream 20gm', ""Pinoin 10mg Capsule 10'SPinoin 5mg Tablet 10'SPinoin 0.05% Cream 20gmPinoin 20mg Capsule 10'SPinoin 0.025% Cream 20gmPinoin 5mg Capsule 10'S"", 'Revize Micro 0.04% Gel 20gmRevize Micro 0.025% Gel 20gm', ""Saferet 10mg Capsule 10'SSaferet 5mg Tablet 30'SSaferet 5mg Capsule 10'SSaferet 20mg Capsule 10'SSaferet 20mg Tablet 30'SSaferet 10mg Tablet 30'S"", 'Skin Fair Cream 15gm', 'Skinbless Cream 20gm', 'Super Glow Cream 15gm', ""Sysret 20mg Capsule 10'S"", 'Trebor 0.05% Cream 20gmTrebor Cream 20gm', ""Tretimax 20mg Tablet 10'S"", 'Trunex MS Aqueous Gel 15gm', ""Tufacne 10mg Capsule 10'STufacne 20mg Capsule 10'S"", 'Zathrin 0.1/1% Gel 15gm', 'Zebor Cream 15gm', ""Attentin 10mg Capsule 10'SAttentin 18mg Capsule 10'SAttentin 25mg Capsule 10'S"", ""Attentrol 10mg Capsule 10'SAttentrol 25mg Capsule 10'SAttentrol 40 mg Capsule 10'SAttentrol 18mg Capsule 10'S"", ""1 AL Plus Capsule 10'S1 AL 10mg Tablet 15'S1 AL 5mg Tablet 10'S1 AL Max Tablet 10'S1 AL Syrup 30ml"", ""1 AL M 10/5mg Tablet 10'S"", ""Alaspan AM Tablet 10'S"", 'Alaspan Oral Solution 60ml']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
